laneid,s_offset,e_offset,lon,lat,e_spdlmt
2391739035123983361,0,115,118.770194,24.944451,110
2391739035123983362,0,115,118.770158,24.944441,110
2391739035123983363,0,114,118.770122,24.944431,110
2391739035123983617,0,10,118.769866,24.945439,110
2391739035123983618,0,10,118.769830,24.945427,110
2391739035123983619,0,10,118.769794,24.945415,110
2391739035123983873,0,3,118.769837,24.945523,110
2391739035123983874,0,3,118.769801,24.945511,110
2391739035123983875,0,3,118.769765,24.945499,110
2391739035123984129,0,9,118.769830,24.945543,110
2391739035123984130,0,9,118.769795,24.945529,110
2391739035123984131,0,9,118.769759,24.945518,110
2391739035123984385,0,635,118.769805,24.945614,110
2391739035123984386,0,634,118.769770,24.945601,110
2391739035123984387,0,633,118.769734,24.945590,110
2391739035123980033,0,18,118.766923,24.950667,110
2391739035123980034,0,18,118.766894,24.950646,110
2391739035123980035,0,17,118.766864,24.950624,110
2391739035123980289,0,80,118.766813,24.950791,110
2391739035123980290,0,80,118.766785,24.950767,110
2391739035123980291,0,80,118.766758,24.950743,110
2391739035123980545,0,2,118.766301,24.951339,110
2391739035123980546,0,2,118.766275,24.951314,110
2391739035123980547,0,2,118.766249,24.951289,110
2391739035123980801,0,204,118.766294,24.951346,110
2391739035123980802,0,204,118.766268,24.951321,110
2391739035123980803,0,205,118.766242,24.951296,110
2392362715914966017,0,45,121.464076,29.657792,110
2392362715914966018,0,45,121.464115,29.657777,110
2392362715914966019,0,46,121.464152,29.657762,110
2392362715914966273,0,60,121.463897,29.657423,110
2392362715914966274,0,60,121.463932,29.657406,110
2392362715914966275,0,59,121.463966,29.657390,110
2392362715914966529,0,9,121.463661,29.656932,110
2392362715914966530,0,9,121.463697,29.656915,110
2392362715914966531,0,9,121.463732,29.656899,110
2392362715914966785,0,9,121.463629,29.656864,110
2392362715914966786,0,9,121.463665,29.656847,110
2392362715914966787,0,9,121.463700,29.656831,110
2392362715914967041,0,20,121.463594,29.656789,110
2392362715914967042,0,20,121.463630,29.656773,110
2392362715914967043,0,19,121.463665,29.656756,110
2392323726201853441,0,35,120.790411,30.428506,120
2392323726201853442,0,34,120.790462,30.428520,120
2392323726201853443,0,34,120.790500,30.428530,120
2392323726201853444,0,34,120.790537,30.428540,120
2392323726201853445,0,33,120.790575,30.428550,120
2392323726201853697,0,43,120.790521,30.428212,120
2392323726201853698,0,43,120.790566,30.428228,120
2392323726201853699,0,43,120.790602,30.428241,120
2392323726201853700,0,43,120.790638,30.428254,120
2392323726201853701,0,43,120.790675,30.428267,120
2392323726201853953,0,28,120.790658,30.427843,120
2392323726201853954,0,28,120.790699,30.427858,120
2392323726201853955,0,28,120.790737,30.427872,120
2392323726201853956,0,28,120.790772,30.427885,120
2392323726201853957,0,28,120.790809,30.427899,120
2392323726201854209,0,2,120.790748,30.427604,120
2392323726201854210,0,2,120.790788,30.427619,120
2392323726201854211,0,2,120.790825,30.427633,120
2392323726201854212,0,2,120.790861,30.427647,120
2392323726201854213,0,2,120.790897,30.427661,120
2392323726201854465,0,7,120.790752,30.427594,120
2392323726201854466,0,7,120.790791,30.427609,120
2392323726201854467,0,7,120.790829,30.427623,120
2392323726201854468,0,7,120.790865,30.427637,120
2392323726201854469,0,7,120.790901,30.427651,120
2392323726201854721,0,2,120.790772,30.427538,120
